,Multiplicity,Geometry,UHF Opt. Strategy,SCF Converged,Stable,Fe Spin Density,<S^2>,Energy (Ha),HONO-1,HONO,LUNO,LUNO+1,DFT Opt. Strategy
5,1,A,NEWTON,True,True,-2.04617,3.1560801,-2497.22503666281,1.151444005244634,1.0505491776034042,0.9494508223965956,0.8485559947553717,Fast_Newton+ADIIS
11,1,A,NEWTON,True,True,-2.04616,3.1561169,-2497.22503646907,1.151442623335617,1.050559288107909,0.9494407118920982,0.8485573766643791,ADIIS
14,1,A,NEWTON,True,True,2.0529,3.1867148,-2497.22411872225,1.1566246959248805,1.0000064386212035,0.999993561378787,0.8433753040751213,NEWTON
12,1,A,ADIIS,False,False,2.05289,3.1842742,-2497.22411869093,1.1566255008027946,1.000066142963726,0.9999338570362748,0.8433744991972044,NEWTON
3,1,A,ADIIS,False,True,-2.01383,2.6942886,-2497.21997497132,1.149449789391483,1.1131174831588586,0.8868825168411404,0.8505502106085114,Fast_Newton+ADIIS
9,1,A,ADIIS,False,True,-2.01387,2.6952873,-2497.21997034767,1.149470289033589,1.1131055511411152,0.8868944488588858,0.85052971096641,ADIIS
13,1,A,DIIS,True,False,2.03916,2.4261104,-2497.21973332902,1.1566017496144936,1.0000379543552242,0.9999620456447746,0.8433982503855035,NEWTON
4,1,A,DIIS,True,False,-2.03915,2.4260947,-2497.2197333135,1.1566019427920338,1.0000061628666737,0.9999938371333242,0.8433980572079681,Fast_Newton+ADIIS
10,1,A,DIIS,True,False,-2.0078,2.3800204,-2497.21711615716,1.1494907289847642,1.1131610801938836,0.8868389198061173,0.8505092710152361,ADIIS
2,1,A,NEWTON,True,True,0.07497,2.7536536,-2497.18819572809,1.26575530144864,1.0000672708786134,0.999932729121399,0.734244698551363,Fast_Newton+DIIS
8,1,A,NEWTON,True,True,-0.09794,2.7474377,-2497.1880616353,1.264752106076784,1.0000875565446652,0.999912443455337,0.7352478939232143,DIIS
0,1,A,ADIIS,False,True,-0.00039,2.6274353,-2497.18779359088,1.2628996790802385,1.0532164267377762,0.9467835732622264,0.7371003209197621,Fast_Newton+DIIS
6,1,A,ADIIS,False,True,0.00091,2.61384,-2497.17595361742,1.3513833601860632,1.0529725266655952,0.9470274733344052,0.6486166398139382,DIIS
1,1,A,DIIS,True,False,1e-05,2.0788733e-08,-2497.11103053672,1.9999999997024815,1.9999999901683745,9.831623277091771e-09,2.975215802255143e-10,Fast_Newton+DIIS
7,1,A,DIIS,True,False,-0.00039,4.1750779e-06,-2496.96106388899,1.999999644704592,1.9999987921907405,1.2078092601982102e-06,3.55295405571206e-07,DIIS
